Name,Pd,Pf,Prec,F1,G,AUC
jpf,80,11,92,85,84,84
xalan,100,44,78,88,74,78
itext,100,44,78,88,74,78
mvnforum,66,22,83,74,72,72
galleon,86,44,76,81,69,68
xerces,100,55,75,85,66,72
drjava,93,55,73,82,64,69
freecol,100,100,62,76,0,50
aoi,100,100,62,76,0,50
fitjava,0,0,0,0,0,50
hsqldb,100,100,62,76,0,50
