Name,Pd,Pf,Prec,F1,G,AUC
fitlibraryforfitnesse,100,63,46,63,60,67
galleon,100,72,42,60,52,77
mvnforum,50,54,33,40,47,33
wct,16,0,100,28,40,41
xalan,16,9,50,25,38,56
aoi,16,9,50,25,38,48
itext,16,9,50,25,38,31
drjava,0,0,0,0,0,66
exoportal,100,100,35,52,0,47
hsqldb,0,0,0,0,0,64
