Name,Pd,Pf,Prec,F1,G,AUC
mvnforum,100,0,100,100,100,100
itext,94,0,100,97,97,98
hsqldb,94,0,100,97,97,100
galleon,94,0,100,97,97,100
emma,88,0,100,94,94,100
nekohtml,83,0,100,90,91,98
xmojo,72,0,100,83,84,100
aoi,66,0,100,80,81,98
jhotdraw,66,0,100,80,81,98
jasml,72,14,92,81,78,84
sunflow,5,0,100,10,23,99
