$lines,$cyclomatic,$churn,$churn_adds,$churn_dels,$num_commits,$num_developers,$num_pre_release_issues,$changed_lines,$mean_experience,$post_num_commits,$num_cochanged_files,$>num_issues
318,33,17,15,2,1,1,1,0,0.0,0,0,0
539,32,547,543,4,2,1,0,0,0.0,0,0,0
1167,100,30,13,17,1,1,1,0,0.0,0,0,0
740,109,16,12,4,1,1,1,0,0.0,0,0,0
187,5,0,0,0,0,0,0,0,0.0,0,0,0
137,15,0,0,0,0,0,0,0,0.0,0,0,0
136,15,0,0,0,0,0,0,0,0.0,0,0,0
138,15,0,0,0,0,0,0,0,0.0,0,0,0
139,15,0,0,0,0,0,0,0,0.0,0,0,0
137,15,0,0,0,0,0,0,0,0.0,0,0,0
60,3,0,0,0,0,0,0,0,0.0,0,0,0
347,24,0,0,0,0,0,0,0,0.0,0,0,0
248,12,75,55,20,18,3,3,0,0.0,0,0,0
157,10,0,0,0,0,0,0,0,0.0,0,0,0
340,35,63,52,11,4,3,2,0,0.0,0,0,0
153,13,52,26,26,2,1,0,0,0.0,0,0,0
140,15,3,2,1,1,1,0,0,0.0,0,0,0
139,11,23,0,23,1,1,0,0,0.0,0,0,0
206,17,0,0,0,0,0,0,0,0.0,0,0,0
279,55,0,0,0,0,0,0,0,0.0,0,0,0
57,6,0,0,0,0,0,0,0,0.0,0,0,0
100,10,79,41,38,1,1,0,0,0.0,0,0,0
565,78,143,133,10,4,2,1,0,0.0,0,0,0
72,8,0,0,0,0,0,0,0,0.0,0,0,0
210,18,41,32,9,1,1,0,0,0.0,0,0,0
1411,300,138,42,96,3,3,3,0,0.0,0,0,0
323,43,135,97,38,5,3,0,0,0.0,0,0,0
318,19,12,10,2,2,1,0,0,0.0,0,0,0
40,1,0,0,0,0,0,0,0,0.0,0,0,0
878,124,288,258,30,4,2,1,0,0.0,0,0,0
82,7,0,0,0,0,0,0,0,0.0,0,0,0
103,11,10,7,3,3,2,1,0,0.0,0,0,0
118,12,16,9,7,1,1,0,0,0.0,0,0,0
923,214,216,29,187,2,2,1,0,0.0,0,0,0
77,5,0,0,0,0,0,0,0,0.0,0,0,0
216,9,63,16,47,3,2,1,0,0.0,0,0,0
2085,343,286,215,71,11,6,6,11,21.5,2,1,2
47,6,8,8,0,1,1,1,0,0.0,0,0,0
1469,353,175,107,68,3,2,2,0,0.0,0,0,0
1298,286,167,114,53,1,1,0,0,0.0,0,0,0
2772,334,559,488,71,11,2,2,0,0.0,0,0,0
794,27,145,115,30,1,1,1,0,0.0,0,0,0
482,45,0,0,0,0,0,0,0,0.0,0,0,0
30,3,0,0,0,0,0,0,0,0.0,0,0,0
81,12,0,0,0,0,0,0,0,0.0,0,0,0
691,63,0,0,0,0,0,0,0,0.0,0,0,0
47,3,0,0,0,0,0,0,0,0.0,0,0,0
212,26,2,1,1,1,1,0,0,0.0,0,0,0
114,8,147,130,17,2,1,1,0,0.0,0,0,0
116,7,0,0,0,0,0,0,0,0.0,0,0,0
51,3,0,0,0,0,0,0,0,0.0,0,0,0
