Name,Pd,Pf,Prec,F1,G,AUC
jasml,71,12,83,76,79,88
nekohtml,57,0,100,72,75,82
mvnforum,100,50,63,77,70,93
hsqldb,100,50,63,77,70,86
jhotdraw,42,0,100,60,65,85
emma,42,12,75,54,61,76
galleon,28,0,100,44,53,56
wct,71,62,50,58,51,66
aoi,71,87,41,52,29,38
xmojo,0,0,0,0,0,75
sunflow,0,0,0,0,0,71
