Name,Pd,Pf,Prec,F1,G,AUC
wct,100,0,100,100,100,100
nekohtml,100,0,100,100,100,100
mvnforum,100,0,100,100,100,100
itext,100,0,100,100,100,100
hsqldb,100,0,100,100,100,100
emma,75,0,100,85,86,100
jhotdraw,75,0,100,85,86,100
galleon,50,0,100,66,70,75
aoi,25,100,20,22,0,25
xmojo,0,0,0,0,0,100
sunflow,0,0,0,0,0,100
