Name,Pd,Pf,Prec,F1,G,AUC
wct,62,50,71,66,55,53
galleon,37,25,75,50,53,70
nekohtml,25,0,100,40,50,53
jasml,25,0,100,40,50,75
emma,25,25,66,36,43,38
mvnforum,25,50,50,33,35,34
jhotdraw,25,50,50,33,35,36
sunflow,12,0,100,22,35,44
itext,100,100,66,80,0,50
xmojo,0,0,0,0,0,42
