Name,Pd,Pf,Prec,F1,G,AUC
sunflow,50,0,100,66,70,91
galleon,50,20,80,61,63,55
jasml,25,20,66,36,44,54
mvnforum,25,40,50,33,38,42
itext,37,60,50,42,38,50
jhotdraw,25,40,50,33,38,47
hsqldb,75,80,60,66,38,54
emma,25,60,40,30,31,45
nekohtml,12,40,33,18,27,50
xmojo,0,0,0,0,0,46
