Name,Pd,Pf,Prec,F1,G,AUC
itext,66,28,50,57,69,55
jasml,33,14,50,40,53,62
emma,33,28,33,33,48,50
wct,33,28,33,33,48,43
mvnforum,33,28,33,33,48,45
xmojo,0,0,0,0,0,33
jhotdraw,0,42,0,0,0,31
sunflow,0,14,0,0,0,21
hsqldb,100,100,30,46,0,43
galleon,66,100,22,33,0,10
