Name,Pd,Pf,Prec,F1,G,AUC
jhotdraw,100,33,60,75,81,83
hsqldb,100,83,37,54,40,44
emma,0,33,0,0,0,22
wct,0,33,0,0,0,36
nekohtml,0,16,0,0,0,22
itext,0,66,0,0,0,0
xmojo,0,0,0,0,0,89
sunflow,0,16,0,0,0,57
jasml,0,50,0,0,0,6
galleon,0,66,0,0,0,25
